#,How easy was it to link your Apollo Amplified Account with the Apollo App?,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,Exclusive merch,Personalized merch,Other,When you first bought your scooter did you require any additional resources to begin riding that were not provided in your scooter box already? Which ones?,How would you rate the number of notifications you receive from the Apollo App?,What other type of notifications or updates would you like to receive from the Apollo App?,How could we improve the Apollo App onboarding experience?,Do you own any other scooter brands?,Other,What was your onboarding experience like with other scooter brands?,How old are you?,Which country are you located in?,Other,Where did you purchase your scooter?,What is the primary purpose of your scooting?,Other,Which Apollo Scooter models do you own?,Other,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
vlbjnasowjp6hk7x93vlbjnc4v7iubl7,1,Accessories,Discounts on Spare Parts,,,,,,,No,Just right,none,i don't know,Emove,,No,55-64 years old,USA,,Apollo Website,School or educational purposes,,Apollo City,,completed,12/09/2024 18:34,,12/09/2024 18:36,2e957bb2c0,
h8w67m6vfmq5nkj3fk67hah8w67m6b5k,0,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,Exclusive merch,Personalized merch,,No,Just right,Discounts on accessories,It's fine as it is at the moment,I don't own any other scooter brands,,,45-54 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Go,,completed,12/09/2024 14:14,,12/09/2024 14:16,696c350f7c,
mzbut9m2w3xhkar35jmzbut6oob6hjrs,7,,,,,,Exclusive merch,,,No,There are too many notifications,None,It’s great,I don't own any other scooter brands,,,35-44 years old,Canada,,Apollo Website,Work,,Apollo Air,,completed,11/09/2024 02:08,,11/09/2024 02:10,c492a7e7fe,
2akl0lqq62ewk8jomyc2akl0p6gvaak7,0,,Discounts on Spare Parts,,,,,,,No,Just right,Software,Na,I don't own any other scooter brands,,,35-44 years old,USA,,Apollo Website,Work,,Apollo City,,completed,10/09/2024 10:00,,10/09/2024 14:19,cc2c2805e4,
rcd8xmqvznai9786op9rcd8xmgdpwcfz,1,Accessories,Discounts on Spare Parts,,,,Exclusive merch,,,I went to a gas station to check the current tire pressure,Just right,None but it would be better if the turn by turn navigation on the app has a voice,,,Xiaomi m365,Xiaomi does not have onboarding assistance,35-44 years old,Canada,,Apollo Website,Work,,Apollo City,,completed,10/09/2024 00:28,,10/09/2024 00:36,4ec3da0ac3,
hhg7f9a7nq52kchhgdq28ezywj09rdq2,0,Accessories,,,,Discounts on scooters,,,,"Only a helmet, maybe a partnership with Fend helmets??",Just right,An alert if you walk away from your scooter without placing it in park mode. Hoping the phantom 2.0 find my features include a notification when the item is left behind or moves away.,Maybe earn amps for downloading app.,I don't own any other scooter brands,,,35-44 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Go,,completed,08/09/2024 21:29,,08/09/2024 21:42,8ce3caf08b,
0uor1796kxvg34hg7373q0uor1796e4e,5,Accessories,,,Maintenance Kits,,,,,No,Just right,None,"Box was delivered in very poor condition, already broken from many places, that means it wasn’t handled with care during delivery",I don't own any other scooter brands,,,35-44 years old,USA,,Apollo Website,Leisure or recreation,,Apollo City,,completed,08/09/2024 19:59,,08/09/2024 20:01,403cafff0e,
0cha9rlmpav0chzfamecc9vi2lhdofs9,0,,,Upgrade Kits,,,,,,Everything I needed was in the Apollo box already,I would like to get more notifications,"New Apollo scooters, equipment, upgrade kits",Apollo app onboarding experience is great,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,,Commuting,Apollo City,,completed,08/09/2024 07:52,,08/09/2024 07:55,3978cbe7dc,
w39xrx3ul7kszww39xxsvsdw6eenva50,0,,,,,Discounts on scooters,,,,YouTube for riding and maintenance,Just right,None,Use bike paths for navigation,I don't own any other scooter brands,,,55-64 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,07/09/2024 19:24,,07/09/2024 19:27,8b118b4f79,
oqzdjad2hlxir3boqzdjaugikl3g1kzo,1,Accessories,,,,Discounts on scooters,Exclusive merch,,,No,Just right,Common issues and how to fix them. Upcoming products.,It felt great honestly!,I don't own any other scooter brands,,,35-44 years old,USA,,Best Buy,Leisure or recreation,,Apollo City,,completed,06/09/2024 15:50,,06/09/2024 15:52,fcf21f3301,
